Date,NPS Latvia,NPS Lithuania,NPS Finland,NPS Estonia
2022-01-01 00:00:00,57.98,57.98,29.76,57.98
2022-01-01 01:00:00,50.05,50.05,46.6,50.05
2022-01-01 02:00:00,41.33,41.33,41.33,41.33
2022-01-01 03:00:00,42.18,42.18,42.18,42.18
2022-01-01 04:00:00,44.37,44.37,44.37,44.37
2022-01-01 05:00:00,37.67,37.67,37.67,37.67
2022-01-01 06:00:00,39.7,39.7,39.7,39.7
2022-01-01 07:00:00,40.59,40.59,40.59,40.59
2022-01-01 08:00:00,43.26,43.26,43.26,43.26
2022-01-01 09:00:00,49.66,49.66,49.66,49.66
2022-01-01 10:00:00,70.05,70.05,65.48,70.05
2022-01-01 11:00:00,76.79,76.79,76.53,76.79
2022-01-01 12:00:00,84.1,84.1,83.63,84.1
2022-01-01 13:00:00,94.74,94.74,94.74,94.74
2022-01-01 14:00:00,96.8,96.8,94.02,96.8
2022-01-01 15:00:00,97.17,97.17,97.17,97.17
2022-01-01 16:00:00,101.27,101.27,101.27,101.27
2022-01-01 17:00:00,126.6,126.6,126.6,126.6
2022-01-01 18:00:00,149.97,149.97,149.97,149.97
2022-01-01 19:00:00,146.33,146.33,146.33,146.33
2022-01-01 20:00:00,140.28,140.28,140.28,140.28
2022-01-01 21:00:00,121.88,121.88,121.88,121.88
2022-01-01 22:00:00,102.61,102.61,102.61,102.61
2022-01-01 23:00:00,97.46,97.46,97.46,97.46
2022-01-02 00:00:00,85.16,85.16,85.16,85.16
2022-01-02 01:00:00,57.08,57.08,57.08,57.08
2022-01-02 02:00:00,55.09,55.09,55.09,55.09
2022-01-02 03:00:00,52.82,52.82,52.82,52.82
2022-01-02 04:00:00,34.94,34.94,34.94,34.94
2022-01-02 05:00:00,29.56,29.56,29.56,29.56
2022-01-02 06:00:00,53.01,53.01,53.01,53.01
2022-01-02 07:00:00,34.52,34.52,34.52,34.52
2022-01-02 08:00:00,41.8,41.8,41.8,41.8
2022-01-02 09:00:00,48.95,48.95,48.95,48.95
2022-01-02 10:00:00,60.01,60.01,60.01,60.01
2022-01-02 11:00:00,70.09,70.09,70.09,70.09
2022-01-02 12:00:00,66.26,66.26,66.26,66.26
2022-01-02 13:00:00,64.54,64.54,64.54,64.54
2022-01-02 14:00:00,46.96,46.96,46.96,46.96
2022-01-02 15:00:00,65.19,65.19,65.19,65.19
2022-01-02 16:00:00,81.09,81.09,74.99,81.09
2022-01-02 17:00:00,88.46,88.46,88.15,88.46
2022-01-02 18:00:00,95.4,95.4,95.4,95.4
2022-01-02 19:00:00,86.71,86.71,86.71,86.71
2022-01-02 20:00:00,71.72,71.72,71.27,71.72
2022-01-02 21:00:00,56.73,56.73,54.12,56.73
2022-01-02 22:00:00,46.16,46.16,46.16,46.16
2022-01-02 23:00:00,46.29,46.29,46.29,46.29
2022-01-03 00:00:00,32.93,32.93,32.93,32.93
2022-01-03 01:00:00,20.89,20.89,20.89,20.89
2022-01-03 02:00:00,19.92,19.92,19.92,19.92
2022-01-03 03:00:00,19.87,19.87,19.87,19.87
2022-01-03 04:00:00,19.82,19.82,19.82,19.82
2022-01-03 05:00:00,20.26,20.26,20.26,20.26
2022-01-03 06:00:00,29.35,29.35,29.35,29.35
2022-01-03 07:00:00,80.0,80.0,80.0,80.0
2022-01-03 08:00:00,106.87,106.87,106.87,106.87
2022-01-03 09:00:00,131.47,131.47,122.93,131.47
2022-01-03 10:00:00,135.53,135.53,110.17,135.53
2022-01-03 11:00:00,107.46,107.46,101.99,107.46
2022-01-03 12:00:00,110.08,110.08,102.38,110.08
2022-01-03 13:00:00,119.78,119.78,106.06,119.78
2022-01-03 14:00:00,117.0,117.0,110.07,117.0
2022-01-03 15:00:00,111.57,111.57,101.97,111.57
2022-01-03 16:00:00,111.39,111.39,98.05,111.39
2022-01-03 17:00:00,124.51,124.51,120.55,124.51
2022-01-03 18:00:00,148.49,148.49,139.57,148.49
2022-01-03 19:00:00,138.0,138.0,134.69,138.0
